#PicoHarp 300  Histogram Data			02/09/2013 15:34										
#channels per curve													
11000													
#display curve no.													
0	1	2	3	4	5								
memory block no.													
P-grnf1	P-grnf2	IRF1	IRF2	4	P_redfilter								
#ns/channel													
"0,0040"	"0,0040"	"0,0040"	"0,0040"	"0,0040"	"0,0040"								
Counts	Counts	Counts	Counts	Counts	Counts	t[ns]	Intens.	t[ns]	Intens.	t[ns]	Intens.	t[ns]	Intens.
15	7	2	3	0	3	1.8621	1	1.9261	0	1.8695	3	1.9418	0
21	6	3	5	0	3	1.8695	1	1.9335	0	1.8768	5	1.9492	0
23	6	4	8	0	3	1.8768	1	1.9408	0	1.8841	0	1.9565	0
20	5	4	4	0	2	1.8841	0	1.9481	0	1.8915	1	1.9638	0
18	4	4	6	0	4	1.8915	3	1.9555	0	1.8988	1	1.9712	0
18	7	3	5	0	3	1.8988	0	1.9628	0	1.9061	2	1.9785	0
13	7	2	2	0	2	1.9061	2	1.9701	0	1.9134	1	1.9858	0
20	6	2	10	0	4	1.9134	1	1.9774	1	1.9208	1	1.9931	0
21	12	4	4	0	3	1.9208	1	1.9848	0	1.9281	1	2.0005	0
19	5	3	3	0	2	1.9281	0	1.9921	0	1.9354	3	2.0078	0
21	13	3	4	0	4	1.9354	0	2.0006	0	1.9428	4	2.0151	0
22	10	2	10	0	1	1.9428	1	2.0068	0	1.9501	2	2.0225	0
12	13	4	11	0	0	1.9501	2	2.0141	0	1.9574	3	2.0298	0
22	7	3	6	1	3	1.9574	1	2.0214	0	1.9648	1	2.0371	0
21	4	4	3	0	5	1.9648	1	2.0288	1	1.9721	1	2.0445	0
20	12	3	4	0	4	1.9721	1	2.0361	0	1.9794	3	2.0518	0
30	6	2	4	0	2	1.9794	1	2.0434	0	1.9868	0	2.0591	0
15	11	5	6	0	1	1.9868	1	2.0508	1	1.9941	1	2.0665	0
18	14	1	4	0	5	1.9941	1	2.0581	0	2.0014	2	2.0738	0
20	10	3	8	0	6	2.0014	0	2.0654	0	2.0088	1	2.0811	0
19	2	4	3	0	2	2.0088	0	2.0728	0	2.0161	1	2.0885	0
13	10	4	4	0	4	2.0161	2	2.0801	0	2.0234	1	2.0958	0
15	14	0	6	0	6	2.0234	1	2.0874	0	2.0307	1	2.1031	0
15	8	4	2	0	5	2.0307	4	2.0947	0	2.0381	1	2.1104	0
18	8	2	4	0	1	2.0381	0	2.1021	0	2.0454	3	2.1178	0
19	12	1	5	0	3	2.0454	4	2.1094	0	2.0527	0	2.1251	0
19	4	2	6	0	1	2.0527	2	2.1167	0	2.0601	2	2.1324	0
17	6	1	5	0	5	2.0601	0	2.1241	0	2.0674	3	2.1398	0
21	6	1	9	0	3	2.0674	2	2.1314	0	2.0747	2	2.1471	0
15	8	0	8	0	3	2.0747	0	2.1387	0	2.0821	6	2.1544	0
21	5	5	6	0	3	2.0821	3	2.1461	0	2.0894	3	2.1618	0
